job_id,skill
1,AWS
1,Azure
1,Data Modeling
1,ETL
1,MongoDB
1,MySQL
1,NoSQL
1,Oracle
1,PostgreSQL
1,SQL
1,SQL Server
1,Tableau
2,Azure
2,ETL
2,Hadoop
2,Java
2,NoSQL
2,Power BI
2,Python
2,SQL
2,Snowflake
2,Spark
2,Tableau
3,AWS
3,Airflow
3,Azure
3,Data Modeling
3,Data Warehouse
3,ELT
3,ETL
3,Git
3,Hadoop
3,Hive
3,Java
3,Python
3,R
3,Scala
3,Spark
5,ETL
5,Python
5,R
5,SQL
6,Python
6,SQL
7,Hadoop
7,Machine Learning
7,NoSQL
7,Python
7,Redshift
7,SQL
7,Spark
7,Tableau
8,Linux
8,Python
8,SQL
9,Data Modeling
9,Docker
9,ETL
9,Hadoop
9,Java
9,NumPy
9,Pandas
9,Python
9,SQL
9,Spark
10,AWS
10,Data Warehouse
10,ETL
10,Java
10,Python
10,R
10,Scala
10,Snowflake
11,Python
12,Machine Learning
13,Azure
13,Git
13,SQL
14,AWS
14,Data Modeling
14,Redshift
14,Tableau
15,AWS
15,Java
15,Linux
15,Machine Learning
15,MongoDB
15,NoSQL
15,SQL
15,Scala
15,Spark
16,AWS
16,Airflow
16,Azure
16,Docker
16,Hadoop
16,Java
16,Kafka
16,Kubernetes
16,NoSQL
16,Python
16,SQL
16,Snowflake
16,Spark
17,Airflow
17,Data Warehouse
17,Docker
17,Hadoop
17,Hive
17,Java
17,Kafka
17,Kubernetes
17,Linux
17,Python
17,SQL
17,SQL Server
17,Scala
17,Spark
19,Git
19,Linux
19,Python
19,SQL
20,Hadoop
20,Hive
20,Java
20,Machine Learning
20,MongoDB
20,NoSQL
20,Python
20,R
20,SQL
20,Spark
20,Tableau
21,ETL
21,Hadoop
21,Hive
21,Java
21,Machine Learning
21,MySQL
21,NoSQL
21,Python
22,AWS
22,Airflow
22,GCP
22,Hadoop
22,Java
22,Kafka
22,MongoDB
22,NoSQL
22,Python
22,SQL
22,Spark
23,AWS
23,Airflow
23,Data Modeling
23,Data Warehouse
23,Hadoop
23,Hive
23,Java
23,Kafka
23,Machine Learning
23,NoSQL
23,Python
23,Redshift
23,SQL
23,Spark
24,BigQuery
24,Data Modeling
24,Hadoop
24,Hive
24,SQL
24,Spark
25,AWS
25,Airflow
25,Data Modeling
25,Data Warehouse
25,GCP
25,Java
25,Looker
25,Python
25,SQL
25,Scala
25,Tableau
26,Python
26,R
26,SQL
27,Data Warehouse
27,ETL
27,Java
27,Looker
27,Python
27,SQL
27,Snowflake
28,AWS
28,Java
28,MySQL
28,PostgreSQL
28,Redshift
28,SQL
28,SQL Server
28,Spark
29,Airflow
29,BigQuery
29,Docker
29,Hadoop
29,Kafka
29,Kubernetes
29,SQL
29,Spark
30,AWS
30,Hadoop
30,Java
30,Machine Learning
30,Python
30,Spark
31,AWS
31,Airflow
31,Azure
31,Data Modeling
31,Data Warehouse
31,ELT
31,ETL
31,Git
31,Hadoop
31,Hive
31,Java
31,Python
31,R
31,Scala
31,Spark
32,ETL
32,Python
32,R
32,SQL
33,Airflow
33,BigQuery
33,Docker
33,ETL
33,Git
33,Looker
33,Python
33,SQL
33,dbt
34,Java
34,Machine Learning
34,NoSQL
34,Python
34,Redshift
34,SQL
35,Java
35,Python
35,SQL
35,SQL Server
36,Java
36,Oracle
36,SQL
37,R
38,AWS
38,Airflow
38,BigQuery
38,Data Lake
38,Data Warehouse
38,ETL
38,GCP
38,Kubernetes
38,Looker
38,PostgreSQL
38,Python
39,Airflow
39,BigQuery
39,Data Warehouse
39,ELT
39,ETL
39,GCP
39,Hadoop
39,Hive
39,Java
39,Machine Learning
39,NoSQL
39,Python
39,Scala
39,Snowflake
39,Spark
40,Airflow
40,Docker
40,Git
40,Python
40,SQL
41,AWS
41,Data Modeling
41,Data Warehouse
41,ETL
41,Git
41,Hadoop
41,Hive
41,Java
41,Linux
41,PostgreSQL
41,Python
41,Redshift
41,SQL
41,Spark
42,AWS
42,Python
42,Scala
42,Spark
43,ETL
43,Java
43,NoSQL
43,Python
43,SQL
43,Scala
44,AWS
44,Airflow
44,Kubernetes
44,Python
44,Redshift
44,SQL
45,Azure
45,Machine Learning
46,Airflow
46,BigQuery
46,Data Modeling
46,ETL
46,Java
46,Python
46,SQL
46,Spark
47,Hadoop
47,Hive
47,Java
47,Kafka
47,Machine Learning
47,NoSQL
47,SQL
47,Scala
47,Spark
48,AWS
48,Docker
48,Linux
48,Looker
48,Python
48,Redshift
48,SQL
48,Snowflake
48,dbt
49,Linux
49,Pandas
49,Python
49,SQL
50,Docker
50,Git
50,Java
50,Kubernetes
50,Linux
50,Python
52,AWS
52,Airflow
52,ETL
52,Hadoop
52,Hive
52,Kubernetes
52,Machine Learning
52,MongoDB
52,Python
52,Redshift
52,Scala
52,Spark
53,AWS
53,Data Warehouse
53,Kafka
53,MySQL
53,SQL
53,SQL Server
54,Data Warehouse
54,Docker
54,Looker
54,Machine Learning
54,Python
54,Redshift
54,SQL
54,Tableau
55,Airflow
55,Docker
55,ETL
55,Kafka
55,Kubernetes
55,Pandas
55,PostgreSQL
55,Python
55,Snowflake
56,AWS
56,Airflow
56,Data Modeling
56,ELT
56,ETL
56,Hadoop
56,Java
56,Kafka
56,NoSQL
56,NumPy
56,Pandas
56,Python
56,R
56,Redshift
56,Scala
56,Spark
57,ETL
57,Hadoop
57,Java
57,Machine Learning
57,SQL
57,Spark
58,AWS
58,BigQuery
58,Data Modeling
58,ETL
58,Looker
58,Python
58,R
58,Redshift
58,SQL
58,Tableau
59,AWS
59,Airflow
59,ETL
59,Git
59,Hadoop
59,Kafka
59,Linux
59,Pandas
59,Python
59,R
59,Redshift
59,SQL
59,Snowflake
59,Spark
60,Python
61,AWS
61,Data Modeling
61,ETL
61,Hadoop
61,Hive
61,Machine Learning
61,Redshift
61,SQL
61,Spark
61,Tableau
62,AWS
62,Docker
62,GCP
62,Git
62,Linux
62,NoSQL
62,Python
63,Hadoop
63,Machine Learning
63,NoSQL
63,Python
63,Redshift
63,SQL
63,Spark
63,Tableau
64,Linux
64,Python
64,SQL
65,Machine Learning
65,MongoDB
66,AWS
66,Airflow
66,Azure
66,GCP
66,Hadoop
66,Java
66,Kafka
66,Linux
66,MySQL
66,NoSQL
66,NumPy
66,Pandas
66,Python
66,Redshift
66,SQL
66,SQL Server
66,Scala
66,Spark
67,Data Modeling
67,ETL
67,Machine Learning
67,NoSQL
67,Python
67,SQL
68,AWS
68,MongoDB
68,Power BI
68,Redshift
68,SQL
68,Spark
68,Tableau
69,AWS
69,Java
69,Python
69,SQL
69,Scala
70,AWS
70,Azure
70,ELT
70,ETL
70,Kafka
70,Machine Learning
70,NoSQL
70,Python
70,R
70,SQL
71,Data Modeling
71,Data Warehouse
71,ETL
71,MySQL
71,Python
71,Redshift
71,SQL
71,Snowflake
71,Spark
72,AWS
72,Airflow
72,BigQuery
72,Data Warehouse
72,ELT
72,ETL
72,Git
72,Kubernetes
72,Looker
72,Python
72,SQL
72,dbt
73,AWS
73,ETL
73,Hadoop
73,PostgreSQL
73,Python
73,R
73,Redshift
73,SQL
73,Scala
73,Spark
74,AWS
74,Hadoop
74,Java
74,Kafka
74,Linux
74,NumPy
74,Pandas
74,PostgreSQL
74,Python
74,Redshift
74,SQL
74,SQL Server
74,Spark
75,Azure
75,BigQuery
75,ETL
75,GCP
75,Linux
75,Python
75,R
75,SQL
76,Linux
76,Python
76,SQL
77,Data Modeling
77,Data Warehouse
77,ETL
77,Java
77,Python
77,SQL
78,Data Warehouse
78,Python
79,AWS
79,Looker
79,PostgreSQL
79,Python
80,SQL
80,Tableau
81,AWS
81,Airflow
81,Data Warehouse
81,ETL
81,Java
81,Looker
81,Python
81,Redshift
81,SQL
81,Snowflake
82,Azure
82,PostgreSQL
82,Python
82,SQL
82,Scala
83,AWS
83,Airflow
83,Kafka
83,NumPy
83,Pandas
83,Python
83,Redshift
83,Snowflake
83,Spark
84,AWS
84,Azure
84,Data Warehouse
84,ETL
84,Machine Learning
84,Python
84,SQL
84,Spark
85,AWS
85,Airflow
85,Azure
85,Docker
85,GCP
85,Java
85,Kafka
85,Kubernetes
85,Machine Learning
85,NoSQL
85,Python
86,ETL
86,Java
86,NoSQL
86,Python
86,SQL
86,Scala
87,ETL
87,Hadoop
87,Java
87,Kafka
87,NoSQL
87,Python
87,Scala
87,Spark
88,BigQuery
88,Docker
88,Java
88,Linux
88,Machine Learning
88,Scala
88,Tableau
89,ETL
89,Hadoop
89,Hive
89,Java
89,Machine Learning
89,MySQL
89,NoSQL
89,Python
91,Airflow
91,BigQuery
91,Data Warehouse
91,ELT
91,ETL
91,GCP
91,Git
91,Python
91,SQL
92,Airflow
92,Azure
92,Data Lake
92,ETL
92,Hadoop
92,Machine Learning
92,Python
92,SQL
92,Spark
93,AWS
93,Git
93,Java
93,Linux
93,Oracle
93,Python
93,R
93,SQL
93,SQL Server
93,Scala
93,Spark
94,Azure
94,Kubernetes
94,Machine Learning
94,Power BI
94,SQL
95,AWS
95,Data Warehouse
95,ETL
95,Java
95,Python
95,R
95,Scala
95,Snowflake
96,Machine Learning
97,AWS
97,Data Modeling
97,ETL
97,MySQL
97,PostgreSQL
97,Python
97,Redshift
97,SQL
97,SQL Server
98,Data Modeling
98,ETL
98,Java
98,Python
99,Python
99,SQL
99,Tableau
100,AWS
100,Data Modeling
